movieId,rating_count,title,genres,imdbId,tmdbId,overview,tags
1,215,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862,,adventure animation children comedy fantasy 
2,110,Jumanji (1995),Adventure|Children|Fantasy,113497,8844,,adventure children fantasy 
3,52,Grumpier Old Men (1995),Comedy|Romance,113228,15602,,comedy romance 
6,102,Heat (1995),Action|Crime|Thriller,113277,949,,action crime thriller 
7,54,Sabrina (1995),Comedy|Romance,114319,11860,,comedy romance 
10,132,GoldenEye (1995),Action|Adventure|Thriller,113189,710,,action adventure thriller 
11,70,"American President, The (1995)",Comedy|Drama|Romance,112346,9087,,comedy drama romance 
16,82,Casino (1995),Crime|Drama,112641,524,,crime drama 
17,67,Sense and Sensibility (1995),Drama|Romance,114388,4584,,drama romance 
19,88,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273,,comedy 
21,89,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012,,comedy crime thriller 
25,76,Leaving Las Vegas (1995),Drama|Romance,113627,451,,drama romance 
32,177,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63,,mystery sci-fi thriller 
34,128,Babe (1995),Children|Drama,112431,9598,,children drama 
36,67,Dead Man Walking (1995),Crime|Drama,112818,687,,crime drama 
39,104,Clueless (1995),Comedy|Romance,112697,9603,,comedy romance 
47,203,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807,,mystery thriller 
48,68,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530,,animation children drama musical romance 
50,204,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629,,crime mystery thriller 
62,80,Mr. Holland's Opus (1995),Drama,113862,2054,,drama 
70,55,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755,,action comedy horror thriller 
95,84,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208,,action adventure thriller 
104,99,Happy Gilmore (1996),Comedy,116483,9614,,comedy 
110,237,Braveheart (1995),Action|Drama|War,112573,197,,action drama war 
111,104,Taxi Driver (1976),Crime|Drama|Thriller,75314,103,,crime drama thriller 
141,86,"Birdcage, The (1996)",Comedy,115685,11000,,comedy 
145,51,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442,9737,,action comedy crime drama thriller 
150,201,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568,,adventure drama imax 
153,137,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,414,,action adventure comedy crime 
158,62,Casper (1995),Adventure|Children,112642,8839,,adventure children 
160,57,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715,10329,,action adventure mystery sci-fi 
161,103,Crimson Tide (1995),Drama|Thriller|War,112740,8963,,drama thriller war 
163,66,Desperado (1995),Action|Romance|Western,112851,8068,,action romance western 
165,144,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,112864,1572,,action crime thriller 
168,54,First Knight (1995),Action|Drama|Romance,113071,6520,,action drama romance 
172,53,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481,9886,,action sci-fi thriller 
173,62,Judge Dredd (1995),Action|Crime|Sci-Fi,113492,9482,,action crime sci-fi 
185,112,"Net, The (1995)",Action|Crime|Thriller,113957,1642,,action crime thriller 
208,115,Waterworld (1995),Action|Adventure|Sci-Fi,114898,9804,,action adventure sci-fi 
223,104,Clerks (1994),Comedy,109445,2292,,comedy 
225,52,Disclosure (1994),Drama|Thriller,109635,8984,,drama thriller 
231,133,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,109686,8467,,adventure comedy 
235,70,Ed Wood (1994),Comedy|Drama,109707,522,,comedy drama 
253,109,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,110148,628,,drama horror 
260,251,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,76759,11,,action adventure sci-fi 
266,68,Legends of the Fall (1994),Drama|Romance|War|Western,110322,4476,,drama romance war western 
288,92,Natural Born Killers (1994),Action|Crime|Thriller,110632,241,,action crime thriller 
292,101,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,114069,6950,,action drama sci-fi thriller 
293,133,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,110413,101,,action crime drama thriller 
296,307,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,110912,680,,comedy crime drama thriller 
300,81,Quiz Show (1994),Drama,110932,11450,,drama 
316,140,Stargate (1994),Action|Adventure|Sci-Fi,111282,2164,,action adventure sci-fi 
